Target,VulnerabilityID,Package,InstalledVersion,FixedVersion,Severity,Title,PrimaryURL
Java,CVE-2025-48734,commons-beanutils:commons-beanutils,1.9.4,1.11.0,HIGH,commons-beanutils: Apache Commons BeanUtils: PropertyUtilsBean does not suppresses an enum's declaredClass property by default,https://avd.aquasec.com/nvd/cve-2025-48734
Java,CVE-2025-48976,commons-fileupload:commons-fileupload,1.5,1.6.0,HIGH,apache-commons-fileupload: Apache Commons FileUpload DoS via part headers,https://avd.aquasec.com/nvd/cve-2025-48976
Java,CVE-2024-47554,commons-io:commons-io,2.11.0,2.14.0,HIGH,apache-commons-io: Possible denial of service attack on untrusted input to XmlStreamReader,https://avd.aquasec.com/nvd/cve-2024-47554
Java,CVE-2024-47554,commons-io:commons-io,2.12.0,2.14.0,HIGH,apache-commons-io: Possible denial of service attack on untrusted input to XmlStreamReader,https://avd.aquasec.com/nvd/cve-2024-47554
Java,CVE-2024-47554,commons-io:commons-io,2.12.0,2.14.0,HIGH,apache-commons-io: Possible denial of service attack on untrusted input to XmlStreamReader,https://avd.aquasec.com/nvd/cve-2024-47554
Java,CVE-2024-47554,commons-io:commons-io,2.2,2.14.0,HIGH,apache-commons-io: Possible denial of service attack on untrusted input to XmlStreamReader,https://avd.aquasec.com/nvd/cve-2024-47554
Java,CVE-2024-47554,commons-io:commons-io,2.5,2.14.0,HIGH,apache-commons-io: Possible denial of service attack on untrusted input to XmlStreamReader,https://avd.aquasec.com/nvd/cve-2024-47554
Java,CVE-2024-47554,commons-io:commons-io,2.6,2.14.0,HIGH,apache-commons-io: Possible denial of service attack on untrusted input to XmlStreamReader,https://avd.aquasec.com/nvd/cve-2024-47554
Java,CVE-2024-47554,commons-io:commons-io,2.6,2.14.0,HIGH,apache-commons-io: Possible denial of service attack on untrusted input to XmlStreamReader,https://avd.aquasec.com/nvd/cve-2024-47554
Java,CVE-2024-47554,commons-io:commons-io,2.8.0,2.14.0,HIGH,apache-commons-io: Possible denial of service attack on untrusted input to XmlStreamReader,https://avd.aquasec.com/nvd/cve-2024-47554
Java,CVE-2024-57699,net.minidev:json-smart,2.5.0,2.5.2,HIGH,json-smart: Potential DoS via stack exhaustion (incomplete fix for CVE-2023-1370),https://avd.aquasec.com/nvd/cve-2024-57699
Java,CVE-2024-57699,net.minidev:json-smart,2.5.0,2.5.2,HIGH,json-smart: Potential DoS via stack exhaustion (incomplete fix for CVE-2023-1370),https://avd.aquasec.com/nvd/cve-2024-57699
Java,CVE-2025-24789,net.snowflake:snowflake-jdbc,3.21.0,3.22.0,HIGH,Snowflake JDBC allows an untrusted search path on Windows,https://avd.aquasec.com/nvd/cve-2025-24789
Java,CVE-2025-48976,org.apache.commons:commons-fileupload2-core,2.0.0-M2,2.0.0-M4,HIGH,apache-commons-fileupload: Apache Commons FileUpload DoS via part headers,https://avd.aquasec.com/nvd/cve-2025-48976
Java,CVE-2022-29599,org.apache.maven.shared:maven-shared-utils,3.1.0,3.3.3,CRITICAL,maven-shared-utils: Command injection via Commandline class,https://avd.aquasec.com/nvd/cve-2022-29599
Java,CVE-2022-29599,org.apache.maven.shared:maven-shared-utils,3.2.1,3.3.3,CRITICAL,maven-shared-utils: Command injection via Commandline class,https://avd.aquasec.com/nvd/cve-2022-29599
Java,CVE-2021-26291,org.apache.maven:maven-compat,3.0.4,3.8.1,CRITICAL,maven: Block repositories using http by default,https://avd.aquasec.com/nvd/cve-2021-26291
Java,CVE-2021-26291,org.apache.maven:maven-core,2.2.1,3.8.1,CRITICAL,maven: Block repositories using http by default,https://avd.aquasec.com/nvd/cve-2021-26291
Java,CVE-2021-26291,org.apache.maven:maven-core,3.0,3.8.1,CRITICAL,maven: Block repositories using http by default,https://avd.aquasec.com/nvd/cve-2021-26291
Java,CVE-2021-26291,org.apache.maven:maven-core,3.0.4,3.8.1,CRITICAL,maven: Block repositories using http by default,https://avd.aquasec.com/nvd/cve-2021-26291
Java,CVE-2023-37460,org.codehaus.plexus:plexus-archiver,4.4.0,4.8.0,HIGH,plexus-archiver: Arbitrary File Creation in AbstractUnArchiver,https://avd.aquasec.com/nvd/cve-2023-37460
Java,CVE-2017-1000487,org.codehaus.plexus:plexus-utils,2.0.4,3.0.16,CRITICAL,plexus-utils: Mishandled strings in Commandline class allow for command injection,https://avd.aquasec.com/nvd/cve-2017-1000487
Java,CVE-2022-4244,org.codehaus.plexus:plexus-utils,2.0.4,3.0.24,HIGH,codehaus-plexus: Directory Traversal,https://avd.aquasec.com/nvd/cve-2022-4244
Java,CVE-2022-4244,org.codehaus.plexus:plexus-utils,3.0.21,3.0.24,HIGH,codehaus-plexus: Directory Traversal,https://avd.aquasec.com/nvd/cve-2022-4244
Java,CVE-2025-1948,org.eclipse.jetty.http2:jetty-http2-common,12.0.8,12.0.17,HIGH,jetty-http2-common: Jetty HTTP/2 Header List Size Vulnerability,https://avd.aquasec.com/nvd/cve-2025-1948
Java,CVE-2025-5115,org.eclipse.jetty.http2:jetty-http2-common,12.0.8,"12.0.25, 12.1.0.beta3",HIGH,"jetty: HTTP/2 (including DNS over HTTPS) contains a design flaw and is vulnerable to ""MadeYouReset"" DoS attack through HTTP/2 control frames",https://avd.aquasec.com/nvd/cve-2025-5115
Node.js,CVE-2024-4068,braces,3.0.2,3.0.3,HIGH,braces: fails to limit the number of characters it can handle,https://avd.aquasec.com/nvd/cve-2024-4068
